"!Template name","LANG_SV","LANG_EN"
"_code","sv","en"
"_CompanyAccounts","Användare","Users"
"_CompanySettings","Branding","Branding"
"_EmailBranding","Branding av e-post","Email branding"
"_CustomiseBackgroundColour","Bakgrundsfärg","Background colour"
"_CustomiseTextColour","Textfärg","Text colour"
"_CustomiseLogo","Logotyp","Logo"
"_SelectImageLabel","Välj fil","Select file"
"_SaveSettings","Spara inställningar","Save settings"
"_SampleEmailHeader","Avtal att e-signera: Contract","Contract to e-sign : Contract",
"_SampleEmailContent","<strong>John Smith</strong> har bjudit in dig att signera dokumentet <strong>Contract</strong>.","<strong>John Smith</strong>  has invited you to sign the document <strong>Contract</strong>."
"_DownloadPDF","Ladda ned PDF","Download PDF"
"_ReviewAttachment","Granska","Review"
"_ReviewPDF","Granska","Review"
"_DeletePDF","Radera","Delete"
"_English","Engelska","English"
"_EnglishInEnglish","English","English"
"_SwedishInSwedish","Svenska","Svenska"
"_HeadUserInfo","Uppgifter","My info"
"_NewPassword","Nytt lösenord","New password"
"_PresentPassword","Nuvarande lösenord","Current password"
"_ContractReminderBodyMulti","Är du säker att du vill skicka en påminnelse till berörda parter för","Are you sure you want to send reminders to the parties involved in the"
"_ContractReminderBodySingel","Är du säker att du vill skicka en påminnelse till berörda parter i dokumentet","Are you sure you want to send a reminder to the parties involved in the document"
"_RepeatNewPassword","Upprepa lösenord","Confirm new password"
"_RequestedAttachments","Begärda bilagor","Requested attachments"
"_SaveChanges","Spara ändringar","Save changes"
"_SaveSettings","Spara inställningar","Save settings"
"_SearchCompanyAccount","Sök konto","Search account"
"_SearchDoc","Sök dokument","Search documents"
"_SendReminder","Skicka påminnelse","Send reminder"
"_SortAttachment","Bilaga","Attachment"
"_SortDoc","Dokument","Document"
"_SortParty","Signerande parter","Signing parties"
"_SortSender","Avsändare","Sender"
"_SortStatus","Status","Status"
"_SortTemplate","Mall","Template"
"_SortTime","Senaste händelse","Last event"
"_Swedish","Svenska","Swedish"
"_UserLanguage","Användarspråk","User language"
"_address","Adress","Address"
"_addressFieldName","adress","address"
"_and","och","and"
"_listand","och","and"
"_backToStepTwoAndFillPersonNumber","Gå tillbaka till steg 1 och fyll i personnummer.","Go back to step 1 and enter ID number."
"_cancel","Avbryt","Cancel"
"_checkBoxFieldName","Kryssruta","Checkbox"
"_city","Postort","City"
"_company","Företag","Company"
"_companyposition","Befattning","Position"
"_invitationEmailSentEntry","Inbjudan att signera skickas via e-post till $partyList$.","The invitation to sign is sent by email to $partyList$."
"_invitationSMSSentEntry","Inbjudan att signera skickas via SMS till $partyList$.","The invitation to sign is sent by SMS to $partyList$."
"_invitationEmailAndSMSSentEntry","Inbjudan att signera skickas via e-post och SMS till $partyList$.","The invitation to sign is sent by email and SMS to $partyList$."
"_lastHistEntry","Dokumentet förseglas och signeras digitalt av Scrive.","The document is sealed and digitally signed by Scrive."
"_seenHistEntry","$personname$ granskar dokumentet online.","$personname$ reviews the document online."
"_signHistEntry","$personname$ signerar dokumentet online med $signMethod()$ som verifieringsmetod.","$personname$ signs the document online with $signMethod()$ as verification method."
"_contractcancelbuttontext","Återkalla inbjudan","Withdraw invitation"
"_contractcancelmodaltext","Om motparten klickar på signeringslänken efter att du återkallat kommer de att få information om att det inte längre går att signera.<br/>Inget meddelande om återkallandet kommer att skickas.<br/>Är du säker att du vill återkalla inbjudan att signera?","If a party clicks on the signing link after you have withdrawn the invitation, they will be informed that it is no longer possible to sign.<br/>No additional message will be sent.<br/>Are you sure you want to withdraw this invitation?"
"_contractcancelmodaltextwithsignatures","När du återkallar inbjudan att signera kommer dem tidigare signaturerna ogiltigförklaras.<br/>Utöver det, om motparten klickar på signeringslänken efter att du återkallat kommer de att få information om att det inte längre går att signera.<br/>Inget meddelande om återkallandet kommer att skickas.<br/>Är du säker att du vill återkalla inbjudan att signera?","Withdrawing this invitation will render all signatures invalid.<br/>Additionally, if a party clicks on the signing link after you have withdrawn the invitation, they will be informed that it is no longer possible to sign.<br/>No additional message will be sent.<br/>Are you sure you want to withdraw this invitation?"
"_contractcancelmodaltitle","Återkalla inbjudan att signera","Withdraw invitation to sign"
"_contractconfirmsendtext","Är du säker på att du vill skicka dokumentet","Are you sure you want to send the document"
"_contractconfirmsendtitle","Skicka inbjudan","Send invitation"
"_contractrejectbuttontext","Avvisa och svara","Reject and reply"
"_contractremindagainbuttontext","Skicka dokumentet igen","Send document again"
"_contractrestartbuttontext","Starta om dokument","Restart the document"
"_contractprolongbuttontext","Förläng förfallodatum","Extend due date"
"_contractsealingtexts","Verifikat","Verification"
"_contractsealingtextsdateText","Datum","Date"
"_sealingtextsdocPrefix","Transaktion","Transaction"
"_contractsealingtextseventsText","Registrerade händelser","Registered events"
"_contractsealingtextshistoryText","Händelser","Events"
"_contractsealingtextsorgNumberText","Org.nr.","Company reg no"
"_personalNumberText","ID nr.","ID no"
"_contractsealingtextspartnerText","Signerande parter","Signing parties"
"_contractsealingtextssecretaryText","Ej signerande parter","Non-signing parties"
"_contractsealingtextssignedText","Signerat","Signed"
"_contractsendbuttontext","Skicka","Send"
"_contractsignatorycancelmodaltitle","Avvisa avtal","Reject contract"
"_contractsignatorysignmodalcontent","Genom att klicka på knappen kommer du att signera avtalet <b class='documenttitle'>$documenttitle$</b> med parterna <span class='unsignedpartynotcurrent'/> och din signatur kommer att registreras av e-signeringstjänsten Scrive.","By clicking the button you will sign the contract <b class='documenttitle'>$documenttitle$</b> with the parties <span class='unsignedpartynotcurrent'/> and your signature will be registered by the e-signing service Scrive."
"_contractsignatorysignmodaltitle","Är du säker att du vill signera?","Are you sure you want to sign?"
"_contractsignbuttontext","Signera","Sign"
"_country","Land","Country"
"_createNewTemplate","Skapa mall","Create template"
"_daysToSignFieldName","dagar kvar att signera","days to sign"
"_delete","Radera","Delete"
"_dialogConfirmSignByAuthorElegBody","Har du ingen e-legitimation? Du kan ladda ned en e-legitimation från din internetbank eller från Telia.","No e-ID? You can download an e-ID from your online bank or from Telia."
"_dialogConfirmSignByAuthorElegClickHere1","Klicka här","Click here"
"_dialogConfirmSignByAuthorElegClickHere2","för att läsa mer.","to read more."
"_dialogConfirmSignByAuthorElegSubHead","Välj typ av e-legitimation","Select type of e-ID"
"_dialogConfirmSignByAuthorHead","Signera","Sign"
"_dialogCsvupload1CSVOnly","Endast .csv","Only .csv"
"_dialogCsvupload1ChooseFileToUpLoad","Välj fil att ladda upp","Select a file to upload"
"_participantsIncludedInFile","deltagare i filen","participants included in file"
"_dialogCsvupload1Head","Massutskick","Multisend"
"_dialogCsvupload1Subtitle","Välj en fil att ladda upp (endast .csv)","Select a file (.csv only) to upload"
"_dialogCsvupload2CSVMultiChooseFile","Välj fil (endast .csv)","Select a file (.csv only)"
"_docListTabsAttachemtns","Bilagor","Attachments"
