"!Template name","LANG_SE","LANG_EN"
"_activatePageViewNotValidLinkBody","Begklagar, din aktiveringslänk är äldre än 12 timmar. Vänligen
 fyll i        din mailadress så skickar vi en ny aktiveringslänk
 omedelbart.      ","We are sorry, your activation link is older than 12 hours. Please
 enter your e-mail address and we will send you a new activation
 link immediately."
"_activatePageViewNotValidLinkEmail","E-mail:","E-mail:"
"_signupPageViewBodyBody","Allt inkluderat. Standardkonto, fria transaktioner och fri lagring.","All inclusive. Standard account, free transactions and free storage."
"_signupPageViewBodyHead","Gratis SkrivaPå till och med 31 maj!","Free Scrive through May 31!"
"_signupPageViewCreateAccount","Skapa konto !","Create account !"
"_signupPageViewEmail","Fyll i din e-postadress","Enter your e-mail address"
"_signupVipPageViewBody","Allt inkluderat. Standardkonto, fria transaktioner och fri lagring.","All inclusive. Standard account, free transactions and free storage."
"_signupVipPageViewCreateAccount","Skapa konto !","Create account !"
"_signupVipPageViewEmail","Fyll i din e-postadress","Enter your e-mail address"
"_signupVipPageViewHead","Gratis SkrivaPå till och med 31 december!","Free Scrive through December 31!"
