"!Template name","LANG_SE","LANG_EN"
"_termsPageH1","SKRIVAPÅ ALLMÄNNA VILLKOR (2011:02)","SCRIVE TERMS OF SERVICE (2011:02)"
"_termsPageH1Body","SkrivaPå CM AB tillhandahåller en tjänst som äntligen löser de
 problem med pappershantering och organisering som de traditionella
 metoderna att underteckna dokument på distans – brev, fax och
 e-post – inte kunnat lösa, samtidigt som vi bibehåller en hög
 säkerhetsstandard. Vår absolut främsta prioritet är att skydda
 Er integritet och säkerhet i vår tjänst. SkrivaPå Allmänna Villkor
 (”Villkoren”) gäller för användning av hemsidan skrivapa.se
 (Tjänsten) och den elektroniska tjänsten för att administrera
 och som deltagande part underteckna dokument (""Part"" eller ""Avtalspart"")(också
 Tjänsten) och är ett avtal mellan Er som använder Tjänsten (”Användaren”
 eller ”Ni”) och SkrivaPå CM AB (”Företaget” eller ”SkrivaPå”).
 Tjänsten tillhör SkrivaPå. Genom att använda hemsidan, skapa
 ett konto och/eller genom att logga in på tjänsten accepterar
 ni Villkoren. Vid användning av Tjänsten för att underteckna
 dokument garanterar ni dessutom att ni har samtliga rättigheter
 som krävs för att lagligt underteckna dokumentet. SkrivaPå reserverar
 sig rätten att utan förpliktelser när som helst ändra, lägga
 till eller ta bort delar i Villkoren. Det är Ert eget ansvar
 att vara uppdaterad på Villkoren varje gång Ni använder Tjänsten.
 Er fortsatta användning av Tjänsten efter att ändringar i Villkoren
 gjorts innebär att Ni accepterar dessa ändringar. Så länge Ni
 respekterar Villkoren, erbjuder SkrivaPå en personlig, icke-exklusiv,
 icke-överförbar, rätt att använda Tjänsten i enlighet med Villkoren.","SkrivaPå CM AB provides a service that finally solves the problems with paperwork and organization which the traditional methods to sign the document at a distance - mail, fax and e-mail – are unable to solve, while maintaining a high security standard. Our main priority is to protect your privacy and the security of our service. SkrivaPå Terms and Conditions (""Terms"") apply to the use of the site skrivapa.se (Service) and the electronic service for the administration and participant signing the document (""Party"" or ""Contractor"") (including service) and is an agreement between the persons who use the Service (""User"" or ""You"") and SkrivaPå CM AB (the ""Company"" or ""SkrivaPå""). The Service belongs to SkrivaPå. By using the website, create an account and/or by logging onto the Service, you accept the Terms. When using the Service to sign documents, You are also guaranteeing that You have all rights necessary to legally sign the document. SkrivaPå reserves the right to, at any time, amend, add or remove parts of these Terms. It is your own responsibility to be informed of any update of the Terms each time You use the Service. Your continued use of the Service after changes have been made in the Terms means that You accept those changes. As long as You respect these conditions, SkrivaPå offers a personal, non-exclusive, non-transferable right to use the Service in accordance with the Terms."
"_termsPageH2Communication","6. Vår Kommunikation med Er","6. Our communication with You"
"_termsPageH2CommunicationBody","Genom att öppna ett konto på Tjänsten ger Ni SkrivaPå tillstånd
 att genom Tjänsten eller genom en representant kontakta Er via
 Er telefon eller e-postadress. Om Ni vill sluta få våra utskick
 via e-post ska Ni skicka ett e-postmeddelande till oss på support@skrivapa.se.
 Observera att SkrivaPå fortfarande kommer att behöva kommunicera
 med Er via e-post om Era transaktioner och andra kontorelaterade
 frågor, och att dessa e-postmeddelanden inte är e-postreklam
 och inte elimineras genom ovanstående förfarande. ","By opening an account on the Service, You give permission to SkrivaPå to, through the Service or through a representative, contact You via your telephone or e-mail address. If You do not wish to receive our mailings via email, please send an email to support@skrivapa.se. Please note that SkrivaPå will still need to communicate with You via email about your transactions and other account-related issues, and that these emails are not commercial emails and will not be eliminated by the above procedure."
"_termsPageH2Datahandeling","3. Datahanteringspolicy","3. Data Management Policy"
"_termsPageH2DatahandelingBody1","SkrivaPå Arkiv är ett säkert och smidigt dokumenthanterings-
 och arkiveringssystem som är en del av Tjänsten. SkrivaPå lagrar
 även användardata i syfte att stärka bevisstyrkan av dokument
 undertecknade genom Tjänsten. Båda dessa deltjänster kräver
 att vi samlar in och lagrar användardata automatiskt. Därför
 har vi en datahanteringspolicy.","SkrivaPå Archive is a secure and easy document management and archiving system that is part of the Service. SkrivaPå also stores user data in order to enhance the weight of the evidence of the document signed by the Service. Both of these services require that we collect and store user data automatically. Therefore we have a data management policy."
"_termsPageH2DatahandelingBody2","<h4>a. Datahantering:</h4> Tjänsten lagrar automatiskt information
 om Användare, kommunikation och dokument. Vilken information
 som lagras och hur denna hanteras beskrivs närmare i vår sekretesspolicy.
 SkrivaPå förbehåller sig rätten att fortsätta lagra denna information
 på obegränsad tid på våra servrar, detta gäller även information
 från Användare som sagt upp eller blivit uppsagda från sitt
 konto och den information som Användaren själv valt att radera
 från sitt användarkonto. ","<H4>a. Data Management:</H4> The Service automatically stores information about users, communications and records. The information that is stored and how it is managed is described in detail in our Privacy Policy. SkrivaPå reserves the right to continue to store this information indefinitely on our servers. This also includes information from users who have resigned or been dismissed from his account as well as the information that the user has chosen to delete from their user account."
"_termsPageH2DatahandelingBody3","<h4>b. PUL:</h4> I den mån Tjänsten kan komma att behandla personuppgifter
 i samband med fullgörandet av Villkoren ska kunden vara personuppgiftsansvarig
 och SkrivaPå personuppgiftsbiträde (enligt definitionerna i
 personuppgiftslagen). SkrivaPå får endast behandla personuppgifter
 enligt kundens instruktioner eller i den mån det krävs för att
 kunna uppfylla sina åtaganden enligt Villkoren.","<h4>b. PDA:</h4> To the extent that the Service may process personal information in connection with the performance of these Terms, Customer shall be responsible for personal information and will also be SkrivaPå’s personal data assistant (as defined in the Swedish Data Protection Act). SkrivaPå may only process personal data according to customer's instructions or to the extent necessary to meet its obligations under the Terms."
"_termsPageH2DatahandelingBody4","<h4>c. Datalagring:</h4> SkrivaPå lagrar dokument som undertecknats
 av alla parter mot en överenskommen årlig avgift. För dokument
 som inte är färdigställda och undertecknats av alla parter lagras
 dokumentet kostnadsfritt i 100 dagar efter att dokumentet skapats,
 Tjänsten lagrar dock max 1GB kostnadsfritt per konto. Efter
 överstigen tidsfrist eller lagringsmängd kan Ni välja om Ni
 vill fortsätta lagra era utkast genom att betala den överenskomna
 årliga lagringsavgiften. ","<h4>c. Data storage:</h4> SkrivaPå stores documents signed by all parties against an agreed annual fee. For documents that are not completed and signed by all parties, SkrivaPå stores the document fee free for 100 days after the document was created. The service stores max 1GB free per account. After the 100 days have been exceeded, You can choose time or amount of storage, if You want to continue storing your draft, by paying the agreed annual storage fee."
"_termsPageH2Info","1. Information","1. Information"
"_termsPageH2InfoBody","Det är Ert ansvar att utvärdera korrektheten, fullständigheten
 och användbarheten av all information, åsikter, råd, dokument,
 kontrakt, eller annat innehåll tillgängligt genom SkrivaPå.
 Ingen del av Tjänsten ska ses som juridisk rådgivning. Varken
 SkrivaPå eller dess samarbetspartners ska vara ansvariga för
 några fel eller brister i innehållet eller för konsekvenserna
 av handlingar där man förlitat sig på innehållet.","It is your responsibility to evaluate the accuracy, completeness, or usefulness of any information, opinions, advice, documents, contracts, or other content available through SkrivaPå. No part of the Service shall be regarded as legal advice. Neither SkrivaPå nor its affiliates shall be liable for any errors or omissions in the content, or for the consequences of actions based on reliance on any content."
