"!Template name","LANG_SE","LANG_EN"
"_securityPageH1","SÄKERHET","SECURITY"
"_securityPageH2Chalmers","Partnerskap med Chalmers datasäkerhetsgrupp","Partnership with data security group at Chalmers Technical University"
"_securityPageH2ChalmersBody","Tillsammans med Google, Intel och Klarna har vi blivit utvalda
 av Chalmers datasäkerhetsgrupp för att vara del av deras webbsäkerhetsforskningsprogram.
 De arbetar för närvarande på att utveckla andra generationens
 säkra dataflödesprogram. Den nya generationen är den första
 där det är möjligt att matematiskt bevisa, och på så sätt garantera,
 att vissa saker omöjligen kan hända. Vi utvecklar även vårt
 system i nära samarbete med ovan nämnda forskningsteam.","Together with Google, Intel and Klarna, the data security group
 at Chalmers Technical University has selected us to bre part
 of their web security research program. They are, at the moment,
 working on the next generation of secure data flow programs.
 This second generation is the very first one in which it is possible
 to mathematically prove that some things can not happen. We
 also develop our system in close cooperation with the security
 team mentioned above."
"_securityPageH2Change","Förändringshantering","Change management"
"_securityPageH2ChangeBody","Våra interna processer kräver flera nivåer av godkännande vid
 förändringar. Varje förändring valideras, kontrolleras, accepteras,
 loggas och definieras noggrant. En automatisk mekanism skyddar
 kärnan i systemet från oönskade systemmodifieringar. Skyddet
 är aktivt i multipla nivåer; i stadier av systemdesign, implementering,
 ändringar och underhåll. Vi lagrar all historisk data och kan
 spåra alla ändringar enda tillbaks till företagets start.","Our internal processes requires several different layers of approval
 when being changed. Each change is carefully validated, checked,
 approved, logged and defined. An automatic mechanism protects
 the core of the system from unwanted system changes. the protection
 is active in several layers; when designing, implementing, changing
 and maintaining the system. We store all historical data and
 are therefore always able to trace changes back to the very
 birth of the company."
"_securityPageH2Haskell","Haskell","Haskell"
"_securityPageH2HaskellBody","Systemet bakom tjänsten SkrivaPå är baserat på Haskell. Haskell
 är en robust teknik som utvecklats av några av de bästa matematiska
 programmerarna i världen. Två nyckelegenskaper hos tekniken
 är exceptionellt hög systemstabilitet och pålitlighet. Det gör
 att sannolikheten för uppkomsten av säkerhetsluckor är betydligt
 mindre än i traditionella system. Haskells stabilitet och pålitlighet
 är en av de främsta anledningarna till varför Haskell idag används
 av några av de mest säkerhetsmedvetna organisationerna i världen.
 Exempelvis använder USAs regering tekniken för att bygga sina
 plattformar för webbaserad lagring och delning av säkerhetsklassad
 information. ","The system behind Scrive is based on Haskell. Haskell is a robust
 technology that was developed by some of the best mathematical
 programmers in the world. Two key properties of the technology
 is the high system stability and reliability that comes with
 it. This results in lower probability of the occurrence of security
 holes than that of traditionally used systems. The stability
 and reliability of Haskell is the main reason why it is used
 in some of the most security conscious organisations in the world.
 The usage of Haskell in US government web based platforms handling
 secret information is just one example of this."
"_securityPageH2Internal","2048 bit kryptering för intern datatransfer","2048 bit encrypted internal data transfer"
"_securityPageH2InternalBody","Vi använder starkast möjliga kryptering, 2048 bitar, i all kommunikation
 med våra säkerhetspartners. Uppkopplingen är även säkrad med
 AES-certifikat. Egna RSA nycklar används för autentisering och
 auktorisering för att ytterligare garantera högsta pålitlighet
 i transaktioner, dokumentlagring, användaradministration och
 dokumentvalidering i de fall då det kan komma att efterfrågas
 i domstol för att stärka bevisföring.","We use the strongest encryption available , 2048 bit, in all
 communication with our security partners. The connection is
 secured with an AES certificate. We use our own RSA keys for
 authentication and authorization to further guarantee the highest
 reliability possible in our transactions, storage, user administration,
 and document validation in case they would be requested in a
 court trial as evidence."
"_securityPageH2Intro","Inledning","Introduction"
"_securityPageH2IntroBody1","Säkerhet är kärnan i vår verksamhet av två huvudsakliga anledningar:","Security is the core of our business for two main reasons:"
