"!Template name","LANG_SE","LANG_EN"
"_contractcancelledinfoheader","Dokument återkallat","Document withdrawn"
"_contractcancelledinfotext","har återkallat sin inbjudan att underteckna dokumentet.","has withdrawn the invitation to sign the document."
"_contractpendingauthorinfoheader","Väntar","Waiting"
"_contractpendingauthorinfotextIfElse","Du har endast behörighet att se detta                       
    dokumentet. Dokumentet har ännu inte                    
       undertecknats av samtliga parter.","You only have permission to see this                        
   document. The document has not yet                       
    been signed by all signatories."
"_contractpendingauthorinfotextIfiamauthor","Du har skickat inbjudan att                           underteckna.
 Dokumentet har ännu inte                           undertecknats
 av samtliga parter.","You have sent an invitation to                           sign.
 The document has not yet been signed                       
    by all signatories."
"_contractpendingauthornotsignedinfoheader","Granska","Please review"
"_contractpendingauthornotsignedinfotext","Vänligen var noga med att granska dokumentet och kontrollera
 parterna till höger innan du undertecknar.","Please review the document thoroughly and verify that the parties
 are correct before you sign."
"_contractsignedinfoheader","Färdigställt","Finished"
"_contractsignedinfotext","Samtliga parter har undertecknat dokumentet.","All parties have signed the document."
"_contractstatusinfotext","Du har valt att underteckna sist. Vänligen invänta övriga partersunderskrift.","You have chosen to sign last. Please wait for the other signatories."
"_documentInfoTextDatamismatchElseImauthorBody","Avtalsprocessen är avbruten på grund av                     
         felaktig matchning mellan en                       
       undertecknande part och dennes                       
       e-legitimation.","The signing process was cancelled because the personal data of
 a signatory did not match the data in his or her e-ID."
"_documentInfoTextDatamismatchElseImauthorHead","Avtalsprocessen avbruten","Signing process cancelled"
"_documentInfoTextDatamismatchNotsignedbymeImauthorBody","Avtalsprocessen är avbruten på grund                        
        av felaktig matchning mellan en                     
           undertecknande part och dennes                   
             e-legitimation.","The signing process was cancelled because the personal data of
 a signatory did not match the data in his or her e-ID."
"_documentInfoTextDatamismatchNotsignedbymeImauthorHead","Avtalsprocessen avbruten","Signing process cancelled"
"_documentInfoTextDatamismatchSignedbymeImauthorBody","Avtalsprocessen är avbruten på grund av                     
         felaktig matchning mellan en                       
       undertecknande part och dennes                       
       e-legitimation.","The signing process was cancelled because the personal data of
 a signatory did not match the data in his or her e-ID."
