"!Template name","LANG_SE","LANG_EN"
"_createaccount","Skapa konto","Create account"
"_headerAccount","Konto","Account"
"_headerArchive","Arkiv","Archive"
"_headerInvite","Bjud in","Invite"
"_headerInviteFriend"," Bjud en vän på 1 månad fri användning. Skriv deras e-post här!","Enter email and invite a friend to one month free usage!"
"_headerLogOut","Logga ut","Log Out"
"_headerSend","Skicka","Send"
"_message","Meddelande","Message"
"_name","Namn","Name"
"_pageFooterAbout","Om SkrivaPå","About Scrive"
"_pageFooterContact1","<strong>Kontakta oss för feedback, frågor &amp; förfrågningar</strong>","<strong>Contact us for feedback, questions &amp; requests </strong>"
"_pageFooterContact2","<strong>Telefon</strong>          010-195 99 15","<strong>Phone</strong>          +46 (0)10-195 99 15"
"_pageFooterContact3","<strong>Kontorstider</strong>          måndag-fredag 09-17","<strong>Office hours</strong>          Monday-Friday 9 am-5 pm"
"_pageFooterContact4","<strong>Maila SkrivaPå</strong>          <a href=""mailto:info@skrivapa.se"">info@skrivapa.se</a>","<strong>Send email to Scrive</strong>          <a href=""mailto:info@skrivapa.se"">info@skrivapa.se</a>"
"_pageFooterContact5","<strong>Adress</strong>          SkrivaPå CM AB<br />       
   Saltmätargatan 19<br />          113 59 Stockholm","<strong>Address</strong>          SkrivaPå CM AB<br />      
    Saltmätargatan 19<br />          113 59 Stockholm<br /> 
         Sweden"
"_pageFooterCustomers","Kunder","Customers"
"_pageFooterHome","Hem","Home"
"_pageFooterLaw","Juridik","Legal"
"_pageFooterPartners","Partners","Partners"
"_pageFooterPrices","Priser","Prices"
"_pageFooterPrivacy","Sekretesspolicy","Privacy Policy"
"_pageFooterSecurity","Säkerhet","Security"
"_pageFooterSkrivapa","SKRIVAPÅ","SCRIVE"
"_pageFooterSupportFeedback","Support &amp; Feedback","Support &amp; Feedback"
"_pageFooterTOS","Allmäna Villkor","Terms of Service"
"_pageFooterTerms","TRYGGHET OCH VILLKOR","SECURITY AND TERMS"
"_pageFooterTheService","TJÄNSTEN","THE SERVICE"
"_pageFooterTwitter","SKRIVAPÅ PÅ TWITTER","SCRIVE ON TWITTER"
"_queryColumnBody1","SkrivaPå är en tjänst för att skriva på och arkivera avtal elektroniskt.
 Våra kunder och våra kunders kunder älskar enkelheten.","Scrive is a service for signing and storing contracts online.
 Our customers and their customers just love the simplicity."
"_queryColumnBody2","Vi bjuder på 14 dagar full funktionalitet utan kostnad. Inga
 förpliktelser.","We give you 14 days full functionality free of charge. No obligations."
"_queryColumnEmail","E-post: info@skrivapa.se","Email: info@skrivapa.se"
"_queryColumnHead","Avtala redan idag!","Sign documents today!"
"_queryColumnPhone","Telefon: 010-195 99 15","Phone: +46 (0)10-195 99 15"
"_queryColumnQuestions","Frågor? Kontakta oss!","Questions? Contact us!"
"_standardBodyWrapperBody","14 dagar full funktionalitet utan kostnad. Inga förpliktelser.","14 days full functionality free of charge. No obligations."
"_standardBodyWrapperHead","Skapa konto nu!","Create account now!"
