"!Template name","LANG_SE","LANG_EN"
"_contractrejectbuttontext","Avvisa dokument","Reject document"
"_contractsignatorycancelmodaltitleBody","När du avvisat kommer vi att skicka ett e-postmeddelande för
 att meddela ","When you have rejected, we send an e-mail to notify"
"_contractsignatorycancelmodaltitleHead","Avvisa","Reject"
"_contractsignatorysignmodalcontent1","När ","When"
"_contractsignatorysignmodalcontent2","undertecknat blir             avtalet <strong>juridiskt bindande</strong> och            det färdigställda avtalet skickas till din            e-post.","has signed the document, it becomes <strong>legally binding</strong>              and the finished document will be sent to your e-mail."
"_contractsignatorysignmodaltitle","Är du säker att du vill underteckna?","Are you sure you want to sign?"
"_contractsignbuttontext","SkrivaPå","Scrive"
"_contractsignguardwarntext","För att underteckna måste du först klicka i kryssrutan","You must fill in the check box to be able to sign."
"_offerrejectbuttontext","Avvisa offert","Reject offer"
"_offersignatorycancelmodaltitleBody","När du avvisat kommer vi att skicka ett e-postmeddelande för
 att meddela ","When you reject, an e-mail is sent to notify "
"_offersignatorycancelmodaltitleBody2",".             Du kan granska meddelandet nedan och justera innehållet genom att klicka på ""skriv eget meddelande"".          ",".             You can review the message below and adjust it by clicking ""Write own message""."
"_offersignatorycancelmodaltitleHead","Är du säker på att du vill avvisa?","Are you sure you want to reject?"
"_offersignatorysignmodalcontent1"," Genom att klicka på ""acceptera offert"" kommer du att acceptera offerten ","Accept the offer "
"_offersignatorysignmodalcontent2",". När du accepterat offerten skickas en bekräftelse till din
 och avsändarens inkorg.","by clicking ""Accept offer"". When you have accepted the offer,
 the finished document will be sent to you and your counterparts."
"_offersignatorysignmodaltitle","Är du säker att du vill acceptera offerten?","Are you sure you want to accept the offer?"
"_offersignbuttontext","Acceptera offert","Accept offer"
"_offersignguardwarntext","För att acceptera måste du först klicka i kryssrutan","You must fill in the check box to be able to accept."
"_orderrejectbuttontext","Avvisa order","Reject order"
"_ordersignatorycancelmodaltitleBody"," När du avvisat kommer vi att skicka ett e-postmeddelande för att meddela ","When you reject, an e-mail is sent to notify "
"_ordersignatorycancelmodaltitleBody2",".             Du kan granska meddelandet nedan och justera innehållet genom att klicka på ""skriv eget meddelande"".          ",".        You can review the message below and adjust it by clicking ""Write own message""."
"_ordersignatorycancelmodaltitleHead","Är du säker på att du vill avvisa?","Are you sure you want to reject?"
"_ordersignatorysignmodalcontent1","Genom att klicka ”bekräfta order” kommer du att bekräfta ordern","Confirm the order "
"_ordersignatorysignmodalcontent2",". När du har bekräftat order skickas ett slutgiltigt dokument
 till din och avsändarens inkorg.","by clicking ""Confirm order"". When you have confirmed the order,
 the finished document will be sent to you and your counterparts."
"_ordersignatorysignmodaltitle","Är du säker att du vill bekräfta ordern?","Are you sure you want to confirm the order?"
"_ordersignbuttontext","Bekräfta order","Confirm order"
"_ordersignguardwarntext","För att bekräfta måste du först klicka i kryssrutan","You must fill in the check box to be able to confirm."
