"!Template name","LANG_SE","LANG_EN"
"_contractauthorissecretarytext","Avsändare: Ej undertecknande part","Sender: Non-signing party"
"_contractremindagainbuttontext","Skicka dokumentet igen","Send document again"
"_offerauthorissecretarytext","Avsändare","Sender"
"_offerremindagainbuttontext","Skicka offert igen","Send offer again"
"_orderauthorissecretarytext","Avsändare","Sender"
"_orderremindagainbuttontext","Skicka orderbekräftelse igen","Send order confirmation again"
"_signatorycanceledcontracttext","Dokumentet återkallad","Document withdrawn"
"_signatorycanceledoffertext","Offert återkallad","Offer withdrawn"
"_signatorycanceledordertext","Order återkallad","Order withdrawn"
"_signatorysignedcontracttext","Undertecknat","Signed"
"_signatorysignedoffertext","Accepterat offert","Accepted offer"
"_signatorysignedordertext","Ordern bekräftad","Order confirmed"
