"!Template name","LANG_SE","LANG_EN"
"_contractuploadname","AVTAL","CONTRACT"
"_contractuploadprompttext","Välj det dokument som du vill skicka till din motpart för påskrift.","Select a document you want to send to your counterpart."
"_offeruploadname","OFFERT","OFFER"
"_offeruploadprompttext","Välj den offert som du vill skicka till din motpart.","Select an offer you want to send to your counterpart."
"_orderuploadname","ORDER-BEKRÄFTELSE","ORDER CONFIRMATION"
"_orderuploadprompttext","Välj den orderbekräftelse som du vill skicka till.","Select an order confirmation you want to send to your counterpart."
"_signStepsBodyUploadBoxStep1ButtonChooseTemplate","Välj mall","Select template"
"_signStepsBodyUploadBoxStep1ChooseTemplate","Välj mall ","Select template"
"_signStepsBodyUploadBoxStep1Info","Vilken typ av dokument vill du skicka? Klicka på dokumentsymbolen
 för att gå vidare.    ","What type of document do you want to send? Click a document symbol
 to continue."
"_signStepsBodyUploadBoxStep1TemplateSaved","Sparad på SkrivaPå","Saved in Scrive"
"_signStepsBodyUploadBoxStep1UpLoadChooseFile","Välj fil från dator","Select file from computer"
"_signStepsBodyUploadBoxStep1UpLoadOnlyPDF","OBS! Endast PDF","PDF only!"
"_signStepsBodyUploadBoxStepButtonChooseFile","Välj fil ","Select file"
"_step1select","Välj dokument","Select document"
"_step2select","Lägg till motparter","Add counterparties"
"_step3select","Underteckna & skicka!","Sign & send!"
