"!Template name","LANG_SE","LANG_EN"
"_paymentsadminpageAccount","For account: ","For account: "
"_paymentsadminpageAccountSubHead","Payment for account and subaccounts ","Payment for account and subaccounts "
"_paymentsadminpageHead","This page shows prices for all account types","This page shows prices for all account types"
"_paymentsadminpageSignatureCreditCard","For credit card signature:","For credit card signature:"
"_paymentsadminpageSignatureEleg","For e-ID signature:","For e-ID signature:"
"_paymentsadminpageSignatureEmail","For email signature:","For email signature:"
"_paymentsadminpageSignatureIpad","For Pad signature: ","For Pad signature: "
"_paymentsadminpageSignatureMobile","For For mobile signature: :","For For mobile signature: :"
"_paymentsadminpageSignatureSubHead","Payment for each signature ","Payment for each signature "
"_paymentsadminpageStorageAmazon","For Amazon: ","For Amazon: "
"_paymentsadminpageStorageOtherDraft","Draft:  ","Draft:  "
"_paymentsadminpageStorageOtherSubHead","Payment storage of other documents","Payment storage of other documents"
"_paymentsadminpageStorageOtherTemplate","Template:  ","Template:  "
"_paymentsadminpageStorageSubHead","Payment storage of signed documents","Payment storage of signed documents"
"_paymentsadminpageStorageTW","For TrustWeaver: ","For TrustWeaver: "
"_paymentsadminpageSubaccount","For subaccount: ","For subaccount: "
"_paymentsadminpagesuperuserAccountAccount","For account: ","For account: "
"_paymentsadminpagesuperuserAccountSubAccount","For subaccount: ","For subaccount: "
"_paymentsadminpagesuperuserAccountSubHead","Payment for account and subaccounts ","Payment for account and subaccounts "
"_paymentsadminpagesuperuserHead","  This page shows prices for all account types ","  This page shows prices for all account types "
"_paymentsadminpagesuperuserSignatureCreditCard","For credit card signature:","For credit card signature:"
"_paymentsadminpagesuperuserSignatureEleg","For e-ID signature:","For e-ID signature:"
"_paymentsadminpagesuperuserSignatureEmail","For email signature:","For email signature:"
"_paymentsadminpagesuperuserSignatureIpad","For iPad signature: ","For iPad signature: "
"_paymentsadminpagesuperuserSignatureMobile","For For mobile signature: :","For For mobile signature: :"
"_paymentsadminpagesuperuserSignatureSubHead","Payment for each signature ","Payment for each signature "
"_paymentsadminpagesuperuserStorageAmazon","For Amazon: ","For Amazon: "
"_paymentsadminpagesuperuserStorageOtherDraft"," Draft:  "," Draft:  "
"_paymentsadminpagesuperuserStorageOtherSubHead","Payment storage of other documents","Payment storage of other documents"
"_paymentsadminpagesuperuserStorageOtherTemplate","Template:  ","Template:  "
"_paymentsadminpagesuperuserStorageSubHead","Payment storage of signed documents","Payment storage of signed documents"
"_paymentsadminpagesuperuserStorageTW","For TrustWeaver: ","For TrustWeaver: "
