"!Template name","LANG_SE","LANG_EN"
"_cancelByAuthorDialogOwnMessage","Skriv eget meddelande","Write your own message"
"_contractcancelbuttontext","Återkalla inbjudan","Withdraw invitation"
"_contractcancelbyauthormodaltitleBody","Är du säker att du vill återkalla din inbjudan att underteckna dokumentet?            <br/> När du återkallat inbjudan kommer nedanstående meddelande att skickas till dina motparter.   ","Are you sure you want to withdraw the invitation to sign the document? <br/> When you have withdrawn it, the following message will be sent to your counterparts."
"_contractcancelbyauthormodaltitleHead","Återkalla inbjudan","Withdraw invitation"
"_contractrestartbuttontext","Starta om dokument","Restart the document"
"_offercancelbuttontext","Återkalla offert","Withdraw offer"
"_offercancelbyauthormodaltitleBody","När du återkallat offerten kommer nedanstående meddelande att
 skickas till din motpart.","When you have withdrawn the offer, the following message will be sent to your counterpart."
"_offercancelbyauthormodaltitleHead","Är du säker att du vill återkalla offerten?","Are you sure you want to withdraw the offer?"
"_offerrestartbuttontext","Starta om offert","Restart offer"
"_ordercancelbuttontext","Återkalla order","Withdraw order"
"_ordercancelbyauthormodaltitleBody","När du återkallat orderbekräftelsen kommer nedanstående meddelande
 att skickas till din motpart.","When you have withdrawn the order confirmation, the following
 message will be sent to your counterpart."
"_ordercancelbyauthormodaltitleHead","Är du säker att du vill återkalla orderbekräftelsen?","Are you sure you want to withdraw the order confirmation?"
"_orderrestartbuttontext","Starta om order","Restart the order"
