"!Template name","LANG_SE","LANG_EN"
"_addressFieldName","adress","address"
"_checkBoxFieldName","check box","checkbox"
"_daysToSignFieldName","days to sign","days to sign"
"_fieldNameFieldName","namn på fält","field name"
"_fieldValueFieldName","värde på fält","field value"
"_flashAuthorSigned","Dokumentet har undertecknats.","The document has been signed."
"_flashDocumentDraftSaved","Du har sparat dokumentet. ","Your document has been saved."
"_flashDocumentTemplateSaved","Din mall är sparad.","Your template has been saved."
"_flashMessageAccountActivatedFromSign","Ditt original har arkiverats hos SkrivaPå.","Your original document has been saved by Scrive."
"_flashMessageAccountRemovedFromSign","Ditt original är borttaget från SkrivaPå.","Your original document has been removed from Scrive"
"_flashMessageAccountsDeleted","Account(s) successfully deleted (spec/translate me please).","The account(s) were successfully deleted."
"_flashMessageActivationLinkNotValid","Vi beklagar. Länken är inte längre giltig.<br/>    Vänligen använd
 ""Glömt lösenord"" för att generera en ny länk.","We are sorry. This link is no longer valid.<br/> Please use ""Forgot
 password"" to generate a new link."
"_flashMessageAttachmentArchiveDone","Valda bilagor har blivit raderade.","The selected attachments have been deleted."
"_flashMessageBadOldPassword","Du har skrivit in fel nuvarande lösenord","Current password incorrect."
"_flashMessageBulkContractRemindsSent","Påminnelse har skickats till alla parter som ännu inte signerat.","Reminders have been sent to all recipients who have not yet signed."
"_flashMessageBulkOfferRemindsSent","Påminnelse har skickats till alla mottagare som ännu inte accepterat.","Reminders have been sent to all recipients who have not yet accepted."
"_flashMessageCSVHasTooManyRows","Vi beklagar, men vi har begränsat denna fuktion til $maxrows$
 rader.<br/>Var vänlig kontakta vår support om du behöver infoga
 fler än $maxrows$ rader.","We are sorry, this feature has been limited to $maxrows$ rows.
 <br/> Please contact our support if you need more than this."
"_flashMessageCSVSent","Dokumentet är skickat till $doccount$ parter.","The document has been sent to $doccount$ parties."
"_flashMessageCannotCancel","Motparten har redan undertecknat dokumentet. Du kan inte återkalla
 inbjudan. ","The counterparty has already signed the document. You can no
 longer withdraw the invitation."
"_flashMessageChangePasswordEmailSend","Ett nytt lösenord har blivit skickat till din e-post.","A new password has been sent to your email address."
"_flashMessageContractArchiveDone","Valda dokument har blivit raderade.","The selected documents have been deleted."
"_flashMessageEmailIsRequired","E-post krävs.","Email required."
"_flashMessageFailedToParseCSV","Misslyckad tolkning av .csv, var vänlig och kontrollera och ladda
 upp igen.","An error occurred while reading the CSV file. Please check it
 and upload it again."
"_flashMessageFirstNameIsRequired","Förnamn krävs.","First name required."
"_flashMessageInputExceedsMaxLength","$fieldnametitlecase$ får max innehålla $maxlength$ tecken.","$fieldnametitlecase$ must contain at least $maxlength$ characters."
"_flashMessageInputLessThanMinLength","$fieldnametitlecase$ måste innehålla minst $minlength$ tecken.","$fieldnametitlecase$ must contain at least $minlength$ characters."
"_flashMessageInvalidAccountType","Den kontotyp du försöker att välja är inte tillåten.","The account type you are trying to select is not allowed."
"_flashMessageInvalidCSV","Det uppstod ett problem med datan i din .csv. Var vänling och
 kontrollera och ladda upp igen.","An error occurred involving the data in your CSV file. Please
 check it, and upload again."
"_flashMessageInvalidFormat","$fieldnametitlecase$ är ej korrekt formaterad.","$fieldnametitlecase$ is incorrectly formated."
"_flashMessageInvalidPrintableCharsInInput","$fieldnametitlecase$ innehåller ej tillåtna tecken.","$fieldnametitlecase$  contains invalid characters."
"_flashMessageInvalidSpaceInInput","Blankrad är inte tillåtet i $fieldnamelowercase$.","Blank rows are not allowed in $fieldnamelowercase$."
"_flashMessageInvalidUnprintableCharsInInput","$fieldnametitlecase$ innehåller ej tillåtna tecken.","$fieldnametitlecase$ contains invalid characters."
"_flashMessageLoginPageRedirectReasonNotAdmin","Du har inte rätt behörighet att se denna sida.","You are not authorised to see this page."
"_flashMessageLoginPageRedirectReasonNotLoggedIn","Du är inte inloggad.","You are not logged in."
"_flashMessageLoginPageRedirectReasonWrongMailOrPassword","Felaktig e-post eller lösenord.","Incorrect e-mail or password."
"_flashMessageMissingRequiredField","Du har missat att fylla i ett obligatoriskt fält.","You missed some mandatory fields."
"_flashMessageMultipleAttachmentShareDone","Valda bilagor har blivit delade inom din organisation.","The selected attachments have been shared with your organisation."
"_flashMessageMultipleTemplateShareDone","Valda mallar har blivit delade inom din organisation.","The selected templates have been shared with your organisation."
"_flashMessageMustAcceptTOS","För att kunna använda tjänsten måste du acceptera SkrivaPå Allmänna
 Villkor.","Please accept the Scrive Terms of Service to get started."
"_flashMessageNeedsLetterAndDigit","$fieldnametitlecase$ måste innehålla åtminstone två bokstäver
 och två nummer.","$fieldnametitlecase$ must contain at least two letters and two
 digits."
"_flashMessageNewActivationLinkSend","Vi har skickat din kontoinbjudan igen. Vänligen gå tillbaks till
 din inkorg och klicka på länken i mailet för att aktivera ditt
 konto.","We have resent your account activation link. Please go to your inbox
 and click the link in the email to activate your account."
"_flashMessageNoAccountType","Du måste välja kontotyp.","You must select an account type."
"_flashMessageNoBulkContractRemindsSent","Tyvärr, det finns inga parter som återstår att underteckna.","Sorry there are no recipients left to sign."
"_flashMessageNoBulkOfferRemindsSent","Tyvärr, det finns inga mottagare som återstår att acceptera.","Sorry there are no recipients left to accept."
"_flashMessageNoDataInCSV","Kunde inte hitta några data i filen.","Scrive could not find any data in the file."
