"!Template name","LANG_SE","LANG_EN"
"_legalPageH1","JURIDIK","LEGAL"
"_legalPageH2DocHandeling","Hantering av signerade dokument","Handling of signed documents"
"_legalPageH2DocHandelingH31","Stämpling","Stamping"
"_legalPageH2DocHandelingH31Body1","Då alla parter skrivit på ett dokument skickar vi dokumentet
 (kraftigt krypterat) till TrustWeaver där det förses med en
 kvalificerad signatur. Den kvalificerade signaturen går inte
 att förvanska och därmed säkerställer den att dokumentet inte
 förvanskats efter stämpling. Den kvalificerade signaturen går
 att kontrollera i bland annat Adobe Reader.","When all parties have signed a document we encrypt it and send
 it to TrustWeaver where it is supplied with a qualified signature.
 The qualified signature is impossible to impair, and the document
 is thereby protected against distortion after stamping. The qualified
 signature is controllable when using, amongst others, Adobe
 Reader."
"_legalPageH2DocHandelingH32","Lagring","Storage"
"_legalPageH2DocHandelingH32Body1","Utan tillgång till originaldokumentet är det svårt att bevisa
 dokumentets innehåll. Av erfarenhet från våra kunder och kundprospekt
 vet vi att det finns många olika situationer som kan göra att
 dokument kommer bort. Man skulle kunna tro att detta inte är
 fallet för viktigare dokument som till exempel rör gjorda investeringar
 på många miljoner. Så är dock inte fallet, det slarvas med dokument
 av såväl mindre som större värde. Därmed rekommenderar vi våra
 kunder starkt att använda en lämplig lagringsplats för sina
 dokument. Vi erbjuder två noggrant valda typer av lagring med
 olika säkerhetsnivå:","Without access to the original document, it is hard to prove
 the content of the document. Through experiences shared by our
 customers, we know that there are many different situations
 that can result in lost documents. One could believe that this
 is not the case when dealing with more important documents,
 such as investment contracts worth millions, but our studies
 have shown that more important documents are lost almost as
 often as less importunate ones. Because of this, we recommend
 our customers to select an appropriate storage for their documents.
 We offer two carefully selected types of storage with different
 levels of security:"
"_legalPageH2DocHandelingH32Body2","<h4>TrustWeaver:</h4> Som beskrivet i säkerhetsdelen av detta
 dokument är TrustWeaver vår högsäkerhetslösning för lagring.
 Bortsett från det tekniska som är beskrivet under rubriken säkerhet
 skiljer sig TrustWeaver från andra lagringslösningar framförallt
 vad gäller hur dokumenten lagras:","<h4>TrustWeaver:</h4> As described in the security part of this
 document, TrustWeaver is our top security solution for storage.
 Except for the technical aspects described under Security, TrustWeaver
 differs from other storage solutions mostly in the way the documents
 are stored:"
"_legalPageH2DocHandelingH32Body21","<li>För att få lagra material på TrustWeaver måste man genomgå
 rigorösa kontroller för att hindra användare från att äventyra
 andra användares datasäkerhet.</li>			<li>Tjänsten är utformad
 på sådant sätt att dokument inte kan tas ut och stoppas in igen.
 Därmed garanteras dokumentens integritet i ytterligare ett steg
 efter stämplingen med den kvalificerade signaturen.</li>","<li>To qualify as a TrustWeaver user, one has to go through rigorous
 controls to prevent users from endangering other user's data
 security.</li>			<li>The service was created in a way that makes
 it impossible to remove a document and then put it back in.
 Thereby, the integrity of the document is further secured in
 another layer on top of the stamping with the qualified signature.</li>"
"_legalPageH2DocHandelingH32Body3","<h4>Amazon:</h4> Denna typ av lagring sker hos den världsledande
 molnbaserade lagringslösningen Amazon S3. Precis som TrustWeaver
 är Amazon S3 säkerhetscertifierad enligt SAS 70 II och följer
 en strikt policy kring datasäkerhet. Trots detta saknar den
 TrustWeavers rigorösa användarkontroller och garantier av dataintegritet.","<h4>Amazon:</h4> This storage alternative is hosted by the world
 leading cloud based storage solution, Amazon S3. As TrustWeaver,
 Amazon S3 is certified according to the SAS 70 II standards,
 and follows a strict data security policy. Despite this, Amazon
 is not able to provide the rigorous user controls and guaranties
 supplied by TrustWeaver."
"_legalPageH2Intro","Inledning","Introduction"
"_legalPageH2IntroBody","SkrivaPå är en tjänst för att underteckna och arkivera avtal
 elektroniskt. Vi hjälper våra kunder att minska sina kostnader,
 öka omsättningen och spara frustration. Nedanstående material
 ska endast ses som en beskrivning av SkrivaPå som företag och
 som tjänst. Materialet är under inga omständigheter avsett som
 juridisk rådgivning.","Scrive is a service for signing and storing contracts electronically.
 We help our customers to reduce their costs, increase their
 turnover and save frustration. The following mateial shall only
 be seen as a description of Scrive as a company and as a service.
 The material is under no circumstances intended as legal advice."
"_legalPageH2IntroH31","Juridiskt syfte","Legal objective"
"_legalPageH2IntroH31Body1","SkrivaPå´s juridiska syfte är att tillhandahålla bästa möjliga
 juridiska ramverk för att maximera den juridiska säkerheten,
 minimera riskexponeringen samt minimera antalet obehagliga överraskningar
 för våra användare.","Scrive's legal objective is to provide the best possible framework
 to maximize legal security, minimize risk exposure, and minimize
 the number of unpleasant surprises for our users."
"_legalPageH2IntroH31Body2","När det uppstår en tvist kring huruvida ett dokument har skrivits
 på eller inte är det viktigt att kunna påvisa oberoende bevismaterial
 som styrker att dokumentet undertecknats av parterna. Detta
 kan vara knepigt eftersom avtal ofta ingås i ett ”bevisvakuum”
 där det enda sparade bevismaterialet är det signerade dokumentet.
 I värsta fall har man kanske inte ens det signerade dokumentet
 utan endast en e-post- eller sms-konversation att utgå ifrån.
 Om då ena parten hävdar att den inte har tillgång till något
 bevismaterial kan det vara svårt för andra parten att påvisa
 att det bevismaterial som den visar upp är äkta historisk dokumentation
 och inte har fabricerats i efterhand. Denna situation kan lätt
 leda till brustna affärsrelationer och i värsta fall kan det
 krävas att en domstolsprocess inleds för att avgöra konflikten.
 När konflikten tas upp i domstol ligger bevisbördan i första
 hand hos parten som hävdar att dokumentet skrivits på av samtliga
 parter. När denna part uppfyllt sin bevisbörda åligger det bestridande
 part att bevisa motsatsen och så vidare fram och tillbaks tills
 domstolen baserat på framlagt bevismaterial slutligen fäller
 ett avgörande huruvida dokumentet är giltigt eller inte.","When a conflict occurs about whether a document has been signed
 os not, it is important to be able to show independent proof
 material that strengthens that the document has been signed
 by the involved parties. This is often tricky, since a  proof
 vacuum often is created when a contract is signed, and the only
 proof is the signed document itself. In worst case, the only
 proof is only a e-mail or SMS conversation to work from. If
 one party claims that it does not have access to any proof material,
 problems will occur for the other party to show that the proof
 material put forward is genuine, and has not been created retrospectively.
 This situation could easily lead to a broken business relationship,
 and in worst case to a trial in court. When such a conflict
 is brought to court, the burden of proof usually falls on the
 party claiming that the contract has been signed by other parties.
 When that party fulfills its burden of proof, it is the other
 party's burden to prove the opposite, and so the trial goes
 on until the court finally judge upon the presented evidence
 Whether the document is valid or not."
