"!Template name","LANG_SE","LANG_EN"
"_contractInvitationSentEntry"," skickar en inbjudan att underteckna till"," sends an invitation to sign to"
"_contractInvitationSentEntryIfElse","parterna","the parties"
"_contractInvitationSentEntryIfoneSignatory","parten","the party"
"_contractLastHistEntry","    Samtliga parter har undertecknat dokumentet och avtalet är
 nu juridiskt bindande.","    All parties have signed the document, the contract is now
 legally binding."
"_contractSeenHistEntry"," granskar dokumentet online ","reviews the document online"
"_contractSignHistEntry"," undertecknar dokumentet online med ","signs the document online with"
"_contractsealingtexts","Verifikat","Verification"
"_contractsealingtextsdateText","Datum","Date"
"_contractsealingtextsdocPrefix","Dok.nr.","Document number"
"_contractsealingtextseventsText","Registrerade händelser","Registered events"
"_contractsealingtextshistoryText","Händelser","Events"
"_contractsealingtextsorgNumberText","Org.nr. ","Corporate ID"
"_contractsealingtextspartnerText","Parter","Parties"
"_contractsealingtextssecretaryText","Ej undertecknande part","Non-signing party"
"_contractsealingtextssignedText","Undertecknat","Signed"
"_contractsealingtextsverificationFooterRow1","Detta verifikat är utfärdat av SkrivaPå CM AB och styrker att
 dokument nummer $documentid$ har undertecknats","This verification was issued by Scrive and supports that the
 document $documentid$ has been signed"
"_contractsealingtextsverificationFooterRow2","av parterna och är juridiskt bindande. Kursiverad information
 är säkert verifierad genom vår tjänst.","by the parties, and is legally binding. Italic data is safely
 verified by our service."
"_contractsealingtextsverificationFooterRow3","Kontrollera dokumentet mot vår databas genom följande länk:","Verify the order confirmation against our database by following
 the link:"
"_offerInvitationSentEntry"," skickar offerten till"," sends the offer to"
"_offerInvitationSentEntryIfElse","parterna","the parties"
"_offerInvitationSentEntryIfoneSignatory","parten","the party"
"_offerLastHistEntry","    Samligta parter har accepterat offerten.","    All parties have accepted the offer."
"_offerSeenHistEntry","granskar offerten online ","reviews the offer online"
"_offerSignHistEntry","accepterar offerten med ","accepts the offer online with"
"_offersealingtextsdateText","Datum","Date"
"_offersealingtextsdocPrefix","Offertnummer","Offer number"
"_offersealingtextseventsText","Registrerade händelser","Registered events"
"_offersealingtextshistoryText","Händelser","Events"
"_offersealingtextsorgNumberText","Org.nr. ","Corporate ID"
"_offersealingtextspartnerText","Mottagare","Recipient"
"_offersealingtextssecretaryText","Avsändare","Sender"
"_offersealingtextssignedText","Offert accepterad","Offer accepted"
"_offersealingtextsverificationFooterRow1","Detta verifikat är utfärdat av SkrivaPå CM AB och bekräftar att
 offertnummer $documentid$ har accepterats","This verification was issued by Scrive and supports that the
 offer $documentid$ has been accepted"
"_offersealingtextsverificationFooterRow2","av parterna och är juridiskt bindande. Kursiverad information
 är verifierad genom vår tjänst.","by the parties, and is legally binding. Italic data is safely
 verified by our service."
"_offersealingtextsverificationFooterRow3","Du kan kontrollera offerten mot vår databas genom följande länk:","Verify the offer against our database by following the link:"
"_offersealingtextsverificationTitle","Acceptverifikat","Acceptance verification"
"_orderInvitationSentEntry"," skickar orderbekräftelsen till"," sends the order-confirmations to"
"_orderInvitationSentEntryIfElse","parterna","the parties"
"_orderInvitationSentEntryIfoneSignatory","parten","the party"
"_orderLastHistEntry","    Samligta parter har bekräftat ordern.","    All parties have confirmed the order."
"_orderSeenHistEntry","granskar orderbekräftelsen online ","reviews the order-confirmation online"
"_orderSignHistEntry","bekräftar ordern online med ","confirms the order online with"
"_ordersealingtextsdateText","Datum","Date"
"_ordersealingtextsdocPrefix","Orderbekräftelsenummer","Order confirmation number"
"_ordersealingtextseventsText","Registrerade händelser","Registered events"
"_ordersealingtextshistoryText","Händelser","Events"
"_ordersealingtextsorgNumberText","Org.nr. ","Corporate ID"
"_ordersealingtextspartnerText","Mottagare","Recipient"
"_ordersealingtextssecretaryText","Avsändare","Sender"
"_ordersealingtextssignedText","Ordern bekräftad","Order confirmed"
"_ordersealingtextsverificationFooterRow1","Detta verifikat är utfärdat av SkrivaPå CM AB och styrker att
 orderbekräftelsenummer $documentid$ har bekräftats","This verification was issued by Scrive and supports that the
 order confirmation $documentid$ has been confirmed"
"_ordersealingtextsverificationFooterRow2","av parterna och är juridiskt bindande. Kursiverad information
 är säkert verifierad genom vår tjänst.","by the parties, and is legally binding. Italic data is safely
 Verified by our service."
"_ordersealingtextsverificationFooterRow3","Kontrollera orderbekräftelsen mot vår databas genom följande
 länk: ","Verify the order confirmation against our database by following
 the link:"
"_ordersealingtextsverificationTitle","Orderbekräftelse","Order confirmation"
"_signMethodEleg","e-legitimation","e-ID"
"_signMethodElegBankID","BankID","BankID"
"_signMethodElegNordea","Nordea e-legitimation","Nordea e-ID"
"_signMethodElegTelia","Telia e-legitimation","Telia e-ID"
"_signMethodEmail","e-post","email"
