"!Template name","LANG_SE","LANG_EN"
"_accountFromSignFooterNoThx","Nej tack","No thanks"
"_accountFromSignFooterYesArchive","Ja, arkivera","Yes please, store"
"_accountFromSignInputsBodyAcceptTOS","Jag har läst och accepterat <a target=""_blank"" href=""/allmana-villkor"">SkrivaPå
 Allmänna Villkor</a>","I have read and I accept <a target=""_blank"" href=""/allmana-villkor"">Scrive
 Terms of Service</a>"
"_accountFromSignInputsBodySecureOriginal","          Vill du säkra ditt original? SkrivaPå kan även arkivera
 ett original för din säkerhet. Det kostar ingenting.       
 ","          Do you want to secure your original? Scrive can store
 it for your safety, free of charge.        "
"_accountFromSignInputsConfirmPassword","Bekräfta lösenord","Confirm password"
"_accountFromSignInputsPrivateAccount","Privatperson","Private person"
"_close","Stäng","Close"
"_loginModalForgotPasswordSendNewPassword","Skicka nytt lösenord","Send new password"
"_modalAccountRemovalActivateAccount","Aktivera konto","Activate account"
"_modalAccountRemovalBody","Är du säker på att du vill radera dokumentet ""Non Disclosure
 and Immaterial Rights Agreement"" och ditt konto från SkrivaPå","Are you sure you want to delete the document ""Non Disclosure
 and Immaterial Rights Agreement"" and your account from Scrive"
"_modalAccountRemovalFooter","Radera konto","Delete account"
"_modalAccountRemovalHeader","Är du säker?","Are you sure?"
"_modalAccountRemovedBestRegards","Med vänliga hälsningar<br/>        Team SkrivaPå","Best regards<br/>        Team Scrive"
"_modalAccountRemovedBody","Din kopia av dokumentet ""$documenttitle$"" är nu raderat tillsammans
 från SkrivaPå tillsammans med ditt konto.","Your duplicate for the document ""$documenttitle$"" is now deleted
 from Scrive together with your account."
"_modalAccountRemovedHeader","Raderat","Deleted"
"_modalAccountSetupBodyAcceptTOS","Jag har läst och accepterar SkrivaPå Allmänna Villkor","I have read and I accept Scrive Terms of Service"
"_modalAccountSetupChoosePassword","Välj lösenord:","Choose password:"
"_modalAccountSetupFooter","Skapa konto!","Create account!"
"_modalAccountSetupHeaderAcceptTOS","Vänligen acceptera användarvillkoren","Please accept the Terms of Service"
"_modalAccountSetupIfPrivateAccount","Privatperson","Private person"
"_modalAccountSetupPosition","Position:","Position:"
"_modalAccountSetupRepeatPassword","Upprepa lösenord:","Repeat password:"
