"!Template name","LANG_SE","LANG_EN"
"_appendixListAttachment","Bilagor:","Attachments:"
"_contracthassignedformailtext","Har undertecknat","Has signed"
"_hi","Hej","Hi"
"_invitationMailDeferredContentBodyFirst","Vi skickar detta meddelande för att meddela att vårt system har
 identifierat ett problem med mottagarens e-postserver. Antingen
 finns inte e-postadressen eller så ligger mottagarens e-postserver
 nere för tillfället. Vänligen kontrollera att mottagarens e-post
 är korrekt.","We are sending this message to notify you that our system has
 identified a problem with the recipients e-mail server. Probably
 the e-mail does not exist or the recipients e-mail server is
 down for the moment. Please check that the recipients e-mail
 is correct."
"_invitationMailDeferredContentBodySecond","Vi fortsätter försöka att nå mottagarens server och meddelar
 inom kort hur det gått. Klicka på länken nedan om du vill stoppa
 våra försök eller om du vill ändra e-post adressen.<br />  
    ","We will continue to try reaching the recipients server and will
 notify you shortly about how the process. Click the linc below
 if you wish to cancel the procedure or change the e-mail adress.<br
 />      "
"_invitationMailDeferredTitle","Problem med leverans","Probelms with the delivery"
"_invitationMailDeliveredAfterDeferredContentBody","Vi meddelade dig tidigare om att vi hade problem att nå mottagarens
 server. Efter upprepade försök har vår server lyckats leverera
 inbjudan till dokumentet <strong>$documenttitle$</strong> till
 $email$.","We notified you earlier that we had difficulties reaching the
 recipients server. After serveral attempts our server has succeded
 to deliver the invitation to the document<strong>$documenttitle$</strong>
 to $email$."
"_invitationMailDeliveredAfterDeferredTitle","Lyckosam leverans","Lyckosam leverans = Successfully delivered"
"_invitationMailUndeliveredContentBody","Vi har inte kunnat leverera din inbjudan att underteckna dokumentet
 <strong>$documenttitle$</strong>. Det beror antingen på problem
 med mottagarens e-post server eller mer troligt på att adressen
 $email$ inte existerar.       Processen har därmed avbrutits.
 Gör så här om du vill börja om:","We have not been able to deliver you invitation for signing the
 document <strong>$documenttitle$</strong>.  It probably has
 to do with the recievers email server but most prabably the
 e-mail $email$ does not exist. .       The process has therefore
 been cancelled. Do the following to start over again:"
"_invitationMailUndeliveredContentInstruction","Kontrollera vilken som är mottagarens korrekta adress<br/>  
     2. Klicka på dokumentet i ditt arkiv eller på följande länk<br/>
       <a href=""$ctxhostpart$$unsigneddoclink$"">$ctxhostpart$$unsigneddoclink$</a><br/>
       <br/>       3. Klicka ""Starta om""<br/>       4. Skriv
 in rätt e-postadress och skicka igen      ","Review wich adress is correct for the recipient<br/>  2. Click
 the document in your archive or the following linc.<br/>   
    <a href=""$ctxhostpart$$unsigneddoclink$"">$ctxhostpart$$unsigneddoclink$</a><br/>
       <br/>       3. Click ""Restart""<br/>       4. Fill in the
 right e-mail and send again"
"_invitationMailUndeliveredTitle","Felaktig e-post","Incorrect e-mail"
